part,horizon_s,variant,n,positive_rate,auprc,auprc_lift,auroc,brier,nll,ece,f1_best,f1_best_threshold,recall_at_fpr0.01,threshold_at_fpr0.01,recall_at_fpr0.05,threshold_at_fpr0.05,recall_at_fpr0.1,threshold_at_fpr0.1,precision_at_recall0.5,precision_at_recall0.8
val,1.0,ensemble_raw,9529,0.028124672053730718,0.3661374149969628,13.018370998156934,0.9446213216392931,0.0884621233552152,0.24654431151103548,0.1264270206600937,0.3961038961038961,0.8652684688568115,0.27611940298507465,0.9112159013748169,0.6343283582089553,0.7921655178070068,0.8097014925373134,0.6088587641716003,0.3116279069767442,0.20093457943925233
val,1.0,ensemble_temperature,9529,0.028124672053730718,0.3661374149969628,13.018370998156934,0.944621321639293,0.07872868078959386,0.22402397283791928,0.13154130873183134,0.3961038961038961,0.7580643930290648,0.27611940298507465,0.8069016549592773,0.6343283582089553,0.6945966793860247,0.8097014925373134,0.5675237070062376,0.3116279069767442,0.20093457943925233
val,2.0,ensemble_raw,9516,0.05622110130306852,0.5474564843209293,9.737562438874697,0.94751703232265,0.1003870546037657,0.28909463829138354,0.1290639865061161,0.5277995301487862,0.8604528307914734,0.30654205607476637,0.9488368630409241,0.6411214953271028,0.8493196964263916,0.8261682242990654,0.6644686460494995,0.5326732673267327,0.3415802075019952
val,2.0,ensemble_temperature,9516,0.05622110130306852,0.5474564843209293,9.737562438874697,0.9475170323226499,0.08686755163794324,0.2519532231220736,0.13421459059301924,0.5277995301487862,0.7408898911649076,0.30654205607476637,0.8437734200192285,0.6411214953271028,0.7308119280482548,0.8261682242990654,0.597395596621224,0.5326732673267327,0.3415802075019952
val,3.0,ensemble_raw,9504,0.08438552188552188,0.6568110958691126,7.783457175985095,0.9498335292543177,0.09641097339088373,0.28192303515918343,0.11765340364500333,0.6088840736728061,0.8263252973556519,0.36034912718204487,0.9485252499580383,0.6683291770573566,0.8430582284927368,0.844139650872818,0.6456295251846313,0.6573770491803279,0.46488052136133234
val,3.0,ensemble_temperature,9504,0.08438552188552188,0.6568110958691125,7.7834571759850935,0.9498335292543175,0.08634464547633167,0.25434609468712094,0.12268531874698049,0.6088840736728061,0.7264625058417601,0.36034912718204487,0.8611206990140846,0.6683291770573566,0.7413010071669719,0.844139650872818,0.592822580531619,0.6573770491803279,0.46488052136133234
val,5.0,ensemble_raw,9477,0.1396011396011396,0.7797324672806499,5.585430530928737,0.9528947763118547,0.09346667306437598,0.28093985926903925,0.10681435945084626,0.7062864994847132,0.736325740814209,0.3968253968253968,0.9482493996620178,0.7059712773998488,0.825756311416626,0.8533635676492819,0.6424643993377686,0.8105134474327629,0.6288598574821853
val,5.0,ensemble_temperature,9477,0.1396011396011396,0.7797324672806499,5.585430530928737,0.9528947763118547,0.08868353266463405,0.27111945985191255,0.11368758561786796,0.7062864994847132,0.6842405187885059,0.3968253968253968,0.8993428027913888,0.7059712773998488,0.7634332928211884,0.8533635676492819,0.6085764333369087,0.8105134474327629,0.6288598574821853
test,1.0,ensemble_raw,9106,0.031078409839666154,0.37474101949900496,12.057921284657029,0.9490129596232781,0.08253258382055384,0.23078836161095015,0.11639499090179409,0.4410958904109589,0.83697509765625,0.24381625441696114,0.9125353097915649,0.6643109540636042,0.7798500061035156,0.8197879858657244,0.6091138124465942,0.38544474393531,0.2155576382380506
test,1.0,ensemble_temperature,9106,0.031078409839666154,0.37474101949900496,12.057921284657029,0.9490129596232781,0.07366547074615802,0.21166787819000815,0.12235718293875132,0.4410958904109589,0.7319657903722935,0.24381625441696114,0.8084678943500925,0.6643109540636042,0.684973460013301,0.8197879858657244,0.5676851346841764,0.38544474393531,0.2155576382380506
